,0,precio,combustible,CV,km,lugar,año,link
3341,                 Toyota Avensis  150D Advance             ,11.500 €, Diesel, 143 cv,                 123.162 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-madrid.htm?id=6659750
3342,                 Volkswagen  1.0 TSI Advance Style             ,17.790 €, Gasolina, 115 cv,                 47.170 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-roc-10-tsi-advance-style-en-madrid.htm?id=6659674
3343,                 Hyundai Kona  1.0 TGDI Klass 4x2             ,15.990 €, Gasolina, 120 cv,                 0 km             ,                  Palencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-klass-4x2-en-palencia.htm?id=6657802
3344,                 Kia Ceed  1.0 T-GDI             ,14.999 €, Gasolina, 120 cv,                 18.233 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6657700
3345,                 Seat León  2.0 TSI S&S Cupra             ,24.700 €, Gasolina, 300 cv,                 75.361 km             ,                  Valencia             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20-tsi-s_s-cupra-300-en-valencia.htm?id=6657442
3346,                 Volkswagen Golf  2.0 TSI GTI             ,29.900 €, Gasolina, 245 cv,                 20.299 km             ,                  Valencia             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-180kw-en-valencia.htm?id=6656654
3347,                 Volvo V40 Cross  D2 Momentum Aut.             ,16.900 €, Diesel, 120 cv,                 67.342 km             ,                  Granada             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v40+cross+country-d2-momentum-aut-120-en-granada.htm?id=6655280
3348,                 Mercedes Clase GLB 250 4Matic             ,50.200 €, Gasolina, 224 cv,                 16.741 km             ,                  Cadiz             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glb-glb-250-4matic-8g-dct-en-cadiz.htm?id=6655220
3349,                 Bmw X4  xDrive 35iA             ,31.900 €, Gasolina, 306 cv,                 40.476 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x4-xdrive-35ia-en-madrid.htm?id=6654968
3350,                 Kia XCeed  1.6 PHEV eTech Aut.             ,22.900 €, Híbrido, 141 cv,                 3.000 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/km0/seminuevo-kia-xceed-16-phev-etech-aut-en-barcelona.htm?id=6653872
3351,                 Mg ZS  1.5 VTi-Tech Comfort             ,16.200 €, Gasolina, 106 cv,                 3 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-comfort-78kw-en-madrid.htm?id=6653840
3352,                 Volkswagen  1.4 TSI Edition 92kW             ,18.590 €, Gasolina, 125 cv,                 32.268 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-14-tsi-edition-92kw-en-madrid.htm?id=6653198
3353,                 Volkswagen  2.4D Syncro 2920mm             ,5.999 €, Diesel, 78 cv,                 290 km             ,                  Sevilla             ,                  1999             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-24d-syncro-2920mm-en-sevilla.htm?id=6653074
3354,                 Volkswagen  Kombi 6 2.5TDi 2920             ,5.999 €, Diesel, 88 cv,                 310 km             ,                  Sevilla             ,                  1999             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-6-25tdi-2920-en-sevilla.htm?id=6653020
3355,                 Opel Astra  1.7CDTi Excellence             ,9.590 €, Diesel, 130 cv,                 97.485 km             ,                  Madrid             ,                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-17cdti-excellence-130-en-madrid.htm?id=6652410
3356,                 Mercedes Clase A 200 BE Urban             ,18.450 €, Gasolina, 156 cv,                 62.207 km             ,                  Madrid             ,                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200-be-urban-en-madrid.htm?id=6652392
3357,                 Bmw Serie 1 M140iA             ,36.500 €, Gasolina, 340 cv,                 31.050 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-m140ia-en-madrid.htm?id=6652254
3358,                 Peugeot 3008  1.2 S&S PureTech             ,23.250 €, Gasolina, 130 cv,                 11.610 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-12-s_s-puretech-allure-130-en-madrid.htm?id=6652250
3359,                 Hyundai Kona  HEV 1.6 GDI DT             ,19.500 €, Híbrido, 141 cv,                 27.000 km             ,                  Lleida             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-hev-16-gdi-dt-maxx-en-lleida.htm?id=6650916
3360,                 Seat Arona  1.0 TSI Ecomotive             ,13.900 €, Gasolina, 95 cv,                 48.698 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-madrid.htm?id=6648996
3361,                 Seat Arona  1.0 TSI Ecomotive             ,13.900 €, Gasolina, 95 cv,                 48.698 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-madrid.htm?id=6648978
3362,                 Seat Arona  1.0 TSI Ecomotive             ,13.900 €, Gasolina, 95 cv,                 48.698 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-madrid.htm?id=6648916
3363,                 Citroen C4  1.5 BlueHDI S&S Feel             ,21.975 €, Diesel, 130 cv,                 10.717 km             ,                  Zaragoza             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-15-bluehdi-s_s-feel-pack-eat8-130-en-zaragoza.htm?id=6648050
3364,                 Bmw Serie 4 418d Coupé             ,19.190 €, Diesel, 150 cv,                 67.735 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-418d-coupe-en-madrid.htm?id=6647888
3365,                 Mitsubishi Space  120 MPI Motion             ,10.900 €, Gasolina, 71 cv,                 0 km             ,                  Cantabria             ,                  2022             ,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-motion-en-cantabria.htm?id=6647770
3366,                 Jaguar E-Pace  2.0D I4 S AWD 150             ,30.890 €, Diesel, 150 cv,                 31.643 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-150-en-madrid.htm?id=6647342
3367,                 Volkswagen Golf  2.0 TSI GTI Clubsport             ,43.250 €, Gasolina, 300 cv,                 26.000 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-clubsport-dsg-221kw-en-madrid.htm?id=6647138
3368,                 Audi Q3  35 TDI S tronic             ,29.400 €, Diesel, 150 cv,                 64.677 km             ,                  Leon             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-s-tronic-110kw-475-en-leon.htm?id=6645734
3369,                 Audi A3  Sedán 35 TFSI Black             ,27.591 €, Gasolina, 150 cv,                 34.494 km             ,                  Barcelona             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sedan-35-tfsi-black-line-en-barcelona.htm?id=6643786
3370,                 Kia Ceed  1.0 T-GDI             ,15.090 €, Gasolina, 120 cv,                 15.597 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6642212
3371,                 Volkswagen  2.0Bi-TDI Comfortline             ,12.900 €, Diesel, 180 cv,                 291.000 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20bi-tdi-comfortline-180-en-madrid.htm?id=6641754
3372,                 Fiat 500L  1.4 T-Jet Cross             ,14.999 €, Gasolina, 120 cv,                 64.000 km             ,"                  Palmas, Las             ",                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-14-t-jet-cross-en-palmas+las.htm?id=6641690
3373,                 Kia EV6  Long Range GT-Line             ,39.800 €, Eléctrico, 229 cv,                 0 km             ,                  Asturias             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-ev6-long-range-gt-line-rwd-168kw-en-asturias.htm?id=6640846
3374,                 Audi Q2  35 TFSI Design             ,24.900 €, Gasolina, 150 cv,                 24.294 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-35-tfsi-design-110kw-en-madrid.htm?id=6640456
3375,                 Seat Ibiza  1.0 TSI S&S             ,14.900 €, Gasolina, 110 cv,                 14.545 km             ,                  Guadalajara             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-10-tsi-s_s-xcellence-110-en-guadalajara.htm?id=6640326
3376,                 Porsche  E-Hybrid Coupé Aut.             ,96.900 €, Híbrido, 462 cv,                 27.000 km             ,"                  Palmas, Las             ",                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-e-hybrid-coupe-aut-en-palmas+las.htm?id=6639944
3377,                 Hyundai Santa Fe  2.2CRDi 4x2 Tecno             ,18.290 €, Diesel, 200 cv,                 142.697 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-4x2-tecno-7s-en-madrid.htm?id=6639930
3378,                 Citroen Berlingo  Multispace             ,8.980 €, Diesel, 100 cv,                 183.000 km             ,                  Barcelona             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16bluehdi-feel-100-en-barcelona.htm?id=6639336
3379,                 Bmw Serie 6 645 Ci Aut.             ,11.300 €, Gasolina, 333 cv,                 148.911 km             ,                  Madrid             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-645-ci-aut-en-madrid.htm?id=6638800
3380,                 Citroen Berlingo  Multispace             ,8.980 €, Diesel, 100 cv,                 183.000 km             ,                  Barcelona             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16bluehdi-feel-100-en-barcelona.htm?id=6639336
3381,                 Bmw Serie 6 645 Ci Aut.             ,11.300 €, Gasolina, 333 cv,                 148.911 km             ,                  Madrid             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-645-ci-aut-en-madrid.htm?id=6638800
3382,                 Kia Ceed  1.0 T-GDI             ,14.999 €, Gasolina, 120 cv,                 17.646 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6638776
3383,                 Kia Ceed  1.0 T-GDI             ,15.320 €, Gasolina, 120 cv,                 13.511 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6638766
3384,                 Seat Arona  1.0 TSI S&S Style 110             ,17.200 €, Gasolina, 110 cv,                 12.477 km             ,                  Vizcaya             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-vizcaya.htm?id=6638752
3385,                 Seat Arona  1.0 TSI S&S Style 110             ,17.200 €, Gasolina, 110 cv,                 9.907 km             ,                  Vizcaya             ,                  2021             ,https://www.coches.com/km0/seminuevo-seat-arona-10-tsi-s_s-style-110-en-vizcaya.htm?id=6638740
3386,                 Seat Arona  1.0 TSI S&S Style 110             ,17.200 €, Gasolina, 110 cv,                 13.693 km             ,                  Vizcaya             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-vizcaya.htm?id=6638718
3387,                 Audi Q3  Sportback 35 TDI S             ,31.990 €, Diesel, 150 cv,                 48.000 km             ,"                  Palmas, Las             ",                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-sportback-35-tdi-s-tronic-en-palmas+las.htm?id=6637212
3388,                 Citroen C5  Hybrid Shine EAT8             ,28.799 €, Híbrido, 225 cv,                 2 km             ,                  Alava             ,                  2020             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-shine-eat8-en-alava.htm?id=6637048
3389,                 Citroen C5  X Hybrid Feel Pack             ,34.440 €, Híbrido, 225 cv,                 2 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-hybrid-feel-pack-eat8-225-en-alava.htm?id=6637040
3390,                 Citroen C5  X Hybrid Feel Pack             ,34.440 €, Híbrido, 225 cv,                 3 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-hybrid-feel-pack-eat8-225-en-alava.htm?id=6636990
3391,                 Citroen C5  X Hybrid Feel Pack             ,34.440 €, Híbrido, 225 cv,                 4 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-hybrid-feel-pack-eat8-225-en-alava.htm?id=6636968
3392,                 Citroen C5  X Hybrid Feel Pack             ,34.440 €, Híbrido, 225 cv,                 1 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-hybrid-feel-pack-eat8-225-en-alava.htm?id=6636952
3393,                 Citroen C5  X 1.2 Puretech Feel             ,24.680 €, Gasolina, 130 cv,                 2 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-12-puretech-feel-pack-eat8-130-en-alava.htm?id=6636814
3394,                 Seat Ateca  1.5 EcoTSI S&S Style             ,23.400 €, Gasolina, 150 cv,                 16.728 km             ,                  Guadalajara             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-guadalajara.htm?id=6636102
3395,                 Citroen C3  Puretech S&S Feel             ,13.999 €, Gasolina, 110 cv,                 4 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-puretech-s_s-feel-110-en-alava.htm?id=6635366
3396,                 Citroen C3  Puretech S&S Feel             ,13.999 €, Gasolina, 110 cv,                 3 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-puretech-s_s-feel-110-en-alava.htm?id=6635342
3397,                 Mercedes Clase A 200             ,28.995 €, Gasolina, 163 cv,                 4.193 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200-en-madrid.htm?id=6634522
3398,                 Ford Focus  1.8 TDCi Trend 100             ,1.990 €, Diesel, 100 cv,                 172.000 km             ,                  Madrid             ,                  2003             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-18-tdci-trend-100-en-madrid.htm?id=6634312
3399,                 Seat León  ST 1.4 TGI GNC S&S             ,12.991 €, Gasolina, 110 cv,                 108.263 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-14-tgi-gnc-s_s-style-dsg-110-en-madrid.htm?id=6634194
3400,                 Toyota Corolla  Touring Sports 125H             ,21.800 €, Híbrido, 122 cv,                 0 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-toyota-corolla-touring-sports-125h-active-tech-en-madrid.htm?id=6633254
3401,                 Jaguar F-Pace  2.0D l4 MHEV             ,59.000 €, Diesel, 163 cv,                 18.500 km             ,                  Cordoba             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20d-l4-mhev-standard-s-aut-awd-163-en-cordoba.htm?id=6632204
3402,                 Toyota Yaris  120H 1.5 Active Tech             ,17.990 €, Híbrido, 116 cv,                 0 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-tech-en-madrid.htm?id=6632178
3403,                 Hyundai Tucson  1.6 TGDI HEV Tecno             ,30.000 €, Híbrido, 230 cv,                 10 km             ,                  Cordoba             ,                  2021             ,https://www.coches.com/km0/seminuevo-hyundai-tucson-16-tgdi-hev-tecno-2c-at-en-cordoba.htm?id=6631318
3404,                 Audi A8  3.0 Multitronic             ,7.199 €, Gasolina, 220 cv,                 166.386 km             ,                  Madrid             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30-multitronic-en-madrid.htm?id=6630964
3405,                 Ford Fiesta  1.5 TDCi Trend             ,5.980 €, Diesel, 75 cv,                 110.000 km             ,                  Barcelona             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-15-tdci-trend-en-barcelona.htm?id=6630790
3406,                 Citroen Jumpy  Furgón 29 L2H1 90             ,9.900 €, Diesel, 90 cv,                 175.000 km             ,                  Granada             ,                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-jumpy-furgon-29-l2h1-90-en-granada.htm?id=6630608
3407,                 Peugeot 3008  Hybrid 225 Allure             ,32.900 €, Híbrido, 224 cv,                 1 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/km0/seminuevo-peugeot-3008-hybrid-225-allure-e-eat8-en-barcelona.htm?id=6629534
3408,                 Hyundai Tucson  2.0CRDI Kosmo 4x4             ,17.500 €, Diesel, 136 cv,                 138.000 km             ,                  Badajoz             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-20crdi-kosmo-4x4-en-badajoz.htm?id=6627420
3409,                 Audi Q2  30 TFSI S line 81kW             ,26.900 €, Gasolina, 110 cv,                 14.230 km             ,                  Guipuzcoa             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-30-tfsi-s-line-81kw-en-guipuzcoa.htm?id=6627072
3410,                 Ford Fiesta  1.1 Ti-VCT Trend             ,12.995 €, Gasolina, 75 cv,                 10.000 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/km0/seminuevo-ford-fiesta-11-ti-vct-trend-en-barcelona.htm?id=6626984
3411,                 Renault Clio  TCe GLP Intens             ,13.890 €, Gasolina, 100 cv,                 44.569 km             ,                  Cadiz             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-glp-intens-74kw-en-cadiz.htm?id=6626106
3412,                 Volvo XC90  T8 Twin Momentum             ,52.390 €, Híbrido, 390 cv,                 14.583 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc90-t8-twin-momentum-awd-aut-en-madrid.htm?id=6626018
3413,                 Seat Ateca  1.5 EcoTSI S&S Style             ,26.900 €, Gasolina, 150 cv,                 19.873 km             ,                  Granada             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-go-dsg-en-granada.htm?id=6624710
3414,                 Suzuki S-Cross  1.4L Mild Hybrid S3             ,25.500 €, Gasolina, 129 cv,                 0 km             ,                  Valladolid             ,                  2022             ,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-aut-en-valladolid.htm?id=6624534
3415,                 Volvo XC60  D4 Momentum Aut.             ,19.995 €, Diesel, 181 cv,                 99.990 km             ,"                  Palmas, Las             ",                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d4-momentum-aut-181-en-palmas+las.htm?id=6623766
3416,                 Maserati  MC Aut.             ,49.990 €, Gasolina, 460 cv,                 49.990 km             ,                  Ciudad Real             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-maserati-granturismo-mc-aut-en-ciudad+real.htm?id=6623192
3417,                 Seat Ateca  1.5 EcoTSI S&S Style             ,24.400 €, Gasolina, 150 cv,                 22.260 km             ,                  Salamanca             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-dsg-en-salamanca.htm?id=6623096
3418,                 Mitsubishi ASX  200DI-D Motion             ,9.400 €, Diesel, 150 cv,                 158.000 km             ,                  Almeria             ,                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-200di-d-motion-en-almeria.htm?id=6622948
3419,                 Volkswagen  Furgón 2.0TDI SCR             ,17.400 €, Diesel, 140 cv,                 165.600 km             ,                  Vizcaya             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-crafter-furgon-20tdi-scr-35-bm-l3h2-103kw-en-vizcaya.htm?id=6622698
3420,Audi A3,29.400 €, Sedán 30TDI Advanced,  Diesel,                              Cadiz             ,                                  2021             ,                 2.000 km             ,https://www.coches.com/km0/seminuevo-audi-a3-sedan-30tdi-advanced-en-cadiz.htm?id=6620470
3421,Audi A3,29.400 €, Sedán 30TDI Advanced,  Diesel,                              Cadiz             ,                                  2021             ,                 2.000 km             ,https://www.coches.com/km0/seminuevo-audi-a3-sedan-30tdi-advanced-en-cadiz.htm?id=6620468
3422,Audi A3,29.400 €, Sedán 30TDI Advanced,  Diesel,                              Cadiz             ,                                  2021             ,                 2.000 km             ,https://www.coches.com/km0/seminuevo-audi-a3-sedan-30tdi-advanced-en-cadiz.htm?id=6620466
3423,Audi A1 Citycarver,25.500 €, 25 TFSI,  Gasolina,                              Cadiz             ,                                  2021             ,                 2.000 km             ,https://www.coches.com/km0/seminuevo-audi-a1+citycarver-25-tfsi-en-cadiz.htm?id=6620464
3424,Mercedes Clase B,23.790 €,B 180 7G-DCT,  Gasolina,                              Madrid             ,                                  2020             ,                 29.625 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-180-7g-dct-en-madrid.htm?id=6619432
3425,Citroen C3 Aircro…,20.900 €, BlueHDi S&S Shine EAT6 120,  Diesel,                              Barcelona             ,                                  2021             ,                 28 km             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-shine-eat6-120-en-barcelona.htm?id=6619114
3426,Seat Ateca,23.000 €, 1.5 EcoTSI S&S Style,  Gasolina,                              Guadalajara             ,                                  2021             ,                 16.786 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-guadalajara.htm?id=6619008
3427,Dfsk F5,23.900 €, 1.5T Classic 4x2 Aut,  Gasolina,                              Almeria             ,                                  2020             ,                 1.070 km             ,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-almeria.htm?id=6618982
3428,Hyundai Tucson,18.690 €, 1.6CRDI Klass 4x2,  Diesel,                              Madrid             ,                                  2019             ,                 29.482 km             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-klass-4x2-en-madrid.htm?id=6618632
3429,Bmw Serie 2,20.841 €,220dA Cabrio,  Diesel,                              Madrid             ,                                  2015             ,                 150.932 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+2-220da-cabrio-en-madrid.htm?id=6617468
3430,Cupra Formentor,26.390 €, 1.5 TSI 150,  Gasolina,                              Madrid             ,                                  2021             ,                 22.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-15-tsi-150-en-madrid.htm?id=6616688
3431,Seat Ateca,23.990 €, 1.5 EcoTSI S&S Style DSG,  Gasolina,                              Madrid             ,                                  2021             ,                 20.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-dsg-en-madrid.htm?id=6616070
3432,Seat Ateca,23.000 €, 1.5 EcoTSI S&S Style,  Gasolina,                              Guadalajara             ,                                  2021             ,                 16.028 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-guadalajara.htm?id=6616010
3433,Seat Arona,15.300 €, 1.0 TSI Ecomotive S&S Style 110,  Gasolina,                              Guadalajara             ,                                  2021             ,                 21.366 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-110-en-guadalajara.htm?id=6615550
3434,Mazda Mazda3,19.950 €, 2.0 e-Skyactiv-G Zenith 90kW,  Gasolina,                              Huelva             ,                                  2019             ,                 19.800 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-20-e-skyactiv-g-zenith-90kw-en-huelva.htm?id=6615440
3435,Nissan Note,9.900 €, 1.5dCi Naru Edition,  Diesel,                              Madrid             ,                                  2015             ,                 64.298 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-naru-edition-en-madrid.htm?id=6614724
3436,Nissan Note,9.900 €, 1.5dCi Naru Edition,  Diesel,                              Madrid             ,                                  2015             ,                 64.298 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-naru-edition-en-madrid.htm?id=6614718
3437,Nissan Note,9.900 €, 1.5dCi Naru Edition,  Diesel,                              Madrid             ,                                  2015             ,                 64.298 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-naru-edition-en-madrid.htm?id=6614676
3438,Land Rover Range …,37.103 €, 3.0SDV6 HSE 306 Aut.,  Diesel,                              Madrid             ,                                  2016             ,                 139.929 km             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+sport-30sdv6-hse-306-aut-en-madrid.htm?id=6614006
3439,Volkswagen Golf,26.500 €, 2.0 TSI GTI Performance 180kW,  Gasolina,                              Salamanca             ,                                  2018             ,                 90.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-180kw-en-salamanca.htm?id=6613574
3440,Bmw Serie 1,16.995 €,118i,  Gasolina,"                              Palmas, Las             ",                                  2018             ,                 73.805 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118i-en-palmas+las.htm?id=6613260
3441,Hyundai i20,14.995 €, 1.0 TGDI Klass 48V 100,  Gasolina,"                              Palmas, Las             ",                                  2021             ,                 4.995 km             ,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-klass-48v-100-en-palmas+las.htm?id=6613244
3442,Seat Ateca,25.000 €, 2.0TDI CR S&S Style DSG 150,  Diesel,                              Guadalajara             ,                                  2021             ,                 17.922 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-20tdi-cr-s_s-style-dsg-150-en-guadalajara.htm?id=6612604
3443,Citroen Berlingo,11.500 €, BlueHDi S&S Talla M Live 100,  Diesel,                              Pontevedra             ,                                  2018             ,                 126.752 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-bluehdi-s_s-talla-m-live-100-en-pontevedra.htm?id=6611752
3444,Opel Mokka,20.190 €, 1.2T S&S GS Line 130,  Gasolina,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-gs-line-130-en-sevilla.htm?id=6611484
3445,Peugeot 308,28.790 €, 1.6 Hybrid Allure Pack EAT8 180,  Híbrido,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-308-16-hybrid-allure-pack-eat8-180-en-sevilla.htm?id=6611478
3446,Peugeot 5008,28.290 €, 1.5BlueHDi S&S Allure Pack 130,  Diesel,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-5008-15bluehdi-s_s-allure-pack-130-en-sevilla.htm?id=6611468
