,0,precio,combustible,CV,km,lugar,año,link
84,Peugeot 208,17.995 €, 1.5 BlueHDi S&S Active Pack 100,  Diesel,                              Valencia             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-208-15-bluehdi-s_s-active-pack-100-en-valencia.htm?id=6822601
85,Peugeot 208,14.995 €, 1.2 Puretech S&S Active Pack 75,  Gasolina,                              Valencia             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-pack-75-en-valencia.htm?id=6822591
86,Seat León,5.790 €, 1.6TDI CR Style E-eco. S&S,  Diesel,                              Granada             ,                                  2010             ,                 220.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-style-e-eco-s_s-en-granada.htm?id=6822383
87,Dacia Dokker,11.450 €, 1.5dCi Ambiance N1 66kW,  Diesel,                              Madrid             ,                                  2016             ,                 118.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-66kw-en-madrid.htm?id=6822279
88,Chrysler Voyager,8.900 €,Grand  2.8CRD Limited Entret. Aut.,  Diesel,                              Almeria             ,                                  2010             ,                 201.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--28crd-limited-entret-aut-en-almeria.htm?id=6822151
89,Nissan Juke,13.500 €, 1.6i Tekna Premium Piel 18´´,  Gasolina,                              Tarragona             ,                                  2014             ,                 27.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16i-tekna-premium-piel-18-en-tarragona.htm?id=6820459
90,Mercedes Clase GLC,61.895 €,GLC 200 4Matic 9G-Tronic,  Gasolina,                              Madrid             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-mercedes-clase+glc-glc-200-4matic-9g-tronic-en-madrid.htm?id=6820277
91,Mercedes Clase C,34.500 €,C Estate 350 e,  Híbrido,                              Barcelona             ,                                  2018             ,                 46.881 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-350-e-en-barcelona.htm?id=6819257
92,Land Rover Freela…,4.300 €, Excursion 2.0 TD4 S,  Diesel,                              Barcelona             ,                                  2000             ,                 259.712 km             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-excursion-20-td4-s-en-barcelona.htm?id=6819041
93,Jeep Compass,20.800 €, 2.0 Mjt Limited AWD ATX Aut. 103kW,  Diesel,                              Barcelona             ,                                  2018             ,                 100.571 km             ,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-20-mjt-limited-awd-atx-aut-103kw-en-barcelona.htm?id=6819035
94,Hyundai Kona,21.500 €, HEV 1.6 GDI DT Maxx,  Híbrido,                              Palencia             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-hyundai-kona-hev-16-gdi-dt-maxx-en-palencia.htm?id=6818049
95,Ford Explorer,66.000 €, 3.0 PHEV ST-Line AWD 450,  Híbrido,                              Valladolid             ,                                  2022             ,                 5 km             ,https://www.coches.com/km0/seminuevo-ford-explorer-30-phev-st-line-awd-450-en-valladolid.htm?id=6818027
96,Hyundai Getz,2.499 €, 1.1,  Gasolina,                              Vizcaya             ,                                  2004             ,                 90.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-getz-11-en-vizcaya.htm?id=6814069
97,Mini Mini,4.400 €, Cooper,  Gasolina,                              Malaga             ,                                  2005             ,                 126.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-malaga.htm?id=6813333
98,Peugeot 2008,24.500 €, 1.2 PureTech S&S GT Line EAT8 130,  Gasolina,                              Valladolid             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-2008-12-puretech-s_s-gt-line-eat8-130-en-valladolid.htm?id=6813237
