,index,modelo,precio,combustible,CV,km,lugar,año,link
2982,2002,                 Jeep Renegade  1.3 PHEV S 4x4 Aut.             ,27.790 €, Híbrido, 240 cv,                 0 km             ,                  Sevilla             ,                  2021             ,https://www.coches.com/km0/seminuevo-jeep-renegade-13-phev-s-4x4-aut-240-en-sevilla.htm?id=6657106
2983,2003,                 Jeep Renegade  1.3 PHEV Trailhawk             ,27.390 €, Híbrido, 240 cv,                 0 km             ,                  Sevilla             ,                  2021             ,https://www.coches.com/km0/seminuevo-jeep-renegade-13-phev-trailhawk-4x4-aut-240-en-sevilla.htm?id=6657104
2984,2004,                 Seat Arona  1.0 TSI S&S Style 110             ,15.300 €, Gasolina, 110 cv,                 11.443 km             ,                  Guadalajara             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-guadalajara.htm?id=6656038
2985,2005,                 Volkswagen Golf  2.0 TSI GTI             ,20.000 €, Gasolina, 230 cv,                 86.688 km             ,                  Badajoz             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-dsg-230-en-badajoz.htm?id=6655240
2986,2006,                 Mg Marvel R  Performance AWD             ,47.300 €, Eléctrico, 288 cv,                 0 km             ,                  Valladolid             ,                  2022             ,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-valladolid.htm?id=6655038
2987,2007,                 Toyota Yaris GR              ,32.900 €, Gasolina, 261 cv,                 15.600 km             ,                  Barcelona             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-gr-en-barcelona.htm?id=6653890
2988,2008,                 Mg HS e 1.5 T-GDI Luxury             ,31.500 €, Híbrido, 162 cv,                 6 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-mg-hs-e-15-t-gdi-luxury-en-madrid.htm?id=6653848
2989,2009,                 Audi A5  Sportback 2.0 TFSI             ,26.890 €, Gasolina, 170 cv,                 42.675 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-20-tfsi-g-tron-advanced-s-t-en-madrid.htm?id=6653156
2990,2010,                 Ford Kuga  2.5 Duratec PHEV             ,29.550 €, Híbrido, 225 cv,                 0 km             ,                  Salamanca             ,                  2022             ,https://www.coches.com/km0/seminuevo-ford-kuga-25-duratec-phev-titanium-4x2-en-salamanca.htm?id=6652956
2991,2011,                 Mercedes Clase SL 500 7G             ,33.500 €, Gasolina, 388 cv,                 85.547 km             ,                  Madrid             ,                  2008             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-7g-en-madrid.htm?id=6652418
2992,2012,                 Jaguar E-Pace  2.0 I4 S AWD Aut. 200             ,29.818 €, Gasolina, 200 cv,                 60.758 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20-i4-s-awd-aut-200-en-madrid.htm?id=6652400
2993,2013,                 Peugeot 2008  Allure Pack Eléctrico             ,25.645 €, Eléctrico, 136 cv,                 1 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-2008-allure-pack-electrico-100kw-en-valencia.htm?id=6651404
2994,2014,                 Peugeot 2008  Allure Eléctrico             ,25.645 €, Eléctrico, 136 cv,                 0 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-2008-allure-electrico-100kw-en-valencia.htm?id=6651398
2995,2015,                 Peugeot 2008  Active Eléctrico             ,24.295 €, Eléctrico, 136 cv,                 1 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-2008-active-electrico-100kw-en-valencia.htm?id=6651388
2996,2016,                 Peugeot 2008  Active Eléctrico             ,24.295 €, Eléctrico, 136 cv,                 0 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-2008-active-electrico-100kw-en-valencia.htm?id=6651386
2997,2017,                 Volkswagen  2.0TDI R-Line 110kW             ,26.990 €, Diesel, 150 cv,                 94.000 km             ,"                  Palmas, Las             ",                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-r-line-110kw-en-palmas+las.htm?id=6651178
2998,2018,                 Kia Sorento  1.6 T-GDi HEV Drive             ,39.900 €, Híbrido, 233 cv,                 19.792 km             ,                  Sevilla             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-drive-4x2-en-sevilla.htm?id=6651080
2999,2019,                 Kia Sportage  1.6 T-GDi Drive             ,23.900 €, Gasolina, 150 cv,                 0 km             ,                  Palencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-drive-en-palencia.htm?id=6650802
3000,2040,                 Citroen C5  Hybrid Feel EAT8             ,27.899 €, Híbrido, 225 cv,                 2 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-eat8-en-alava.htm?id=6637074
3001,2041,                 Citroen C5  Hybrid Shine EAT8             ,28.799 €, Híbrido, 225 cv,                 5 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-shine-eat8-en-alava.htm?id=6637070
3002,2042,                 Citroen C5  X 1.6 Puretech Shine             ,28.880 €, Gasolina, 180 cv,                 2 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c5-x-16-puretech-shine-eat8-180-en-alava.htm?id=6636998
