,index,modelo,precio,combustible,CV,km,lugar,año,link
39,99,Audi A5 Sportback 2.0TDI 150,16.390 €,  Diesel,Unknown,                 149.000 km             ,                              Granada             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-20tdi-150-en-granada.htm?id=6819425
40,0,                 Peugeot Partner  Tepee 1.6BlueHDI             ,11.990 €, Diesel, 100 cv,                 140.000 km             ,"                  Palmas, Las             ",                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-active-100-en-palmas+las.htm?id=6801546
41,1,                 Bmw X3  xDrive 20dA             ,25.900 €, Diesel, 190 cv,                 136.000 km             ,                  Segovia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x3-xdrive-20da-en-segovia.htm?id=6794114
42,2,                 Ford Focus  Sportbreak 1.0             ,21.340 €, Gasolina, 125 cv,                 2.900 km             ,                  Valencia             ,                  2021             ,https://www.coches.com/km0/seminuevo-ford-focus-sportbreak-10-ecoboost-st-line-x-125-en-valencia.htm?id=6776038
43,3,                 Hyundai Santa Fe Grand  2.2CRDi Style             ,25.950 €, Diesel, 200 cv,                 91.994 km             ,                  Sevilla             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-grand--22crdi-style-4x4-aut-200-en-sevilla.htm?id=6773580
44,4,                 Bmw Serie 1 118i             ,11.885 €, Gasolina, 170 cv,                 134.408 km             ,                  Barcelona             ,                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118i-en-barcelona.htm?id=6747681
45,5,                 Audi Q3  35 TDI Advanced S             ,31.490 €, Diesel, 150 cv,                 75.000 km             ,                  Zaragoza             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-advanced-s-tronic-110kw-en-zaragoza.htm?id=6738491
46,6,                 Renault Mégane  1.5dCi Life 95             ,8.100 €, Diesel, 95 cv,                 109.100 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-life-95-en-madrid.htm?id=6696784
47,7,                 Peugeot Partner  Furgón Electric             ,10.600 €, Eléctrico, 67 cv,                 116.070 km             ,                  Sevilla             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-electric-confort-l2-en-sevilla.htm?id=6691302
48,8,                 Bmw X1  xDrive 20dA             ,23.949 €, Diesel, 190 cv,                 87.000 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x1-xdrive-20da-en-madrid.htm?id=6679348
49,9,                 Seat Ateca  1.5 EcoTSI S&S Style             ,24.200 €, Gasolina, 150 cv,                 21.000 km             ,                  Cordoba             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-dsg-en-cordoba.htm?id=6651010
50,10,                 Kia Sportage  1.6 T-GDi Drive             ,23.900 €, Gasolina, 150 cv,                 0 km             ,                  Palencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-drive-en-palencia.htm?id=6650802
51,11,                 Land Rover  2.0 I4 MHEV             ,46.170 €, Gasolina, 200 cv,                 14.309 km             ,                  Valencia             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20-i4-mhev-r-dynamic-s-awd-aut-200-en-valencia.htm?id=6590889
52,12,                 Toyota Yaris  125 S-Edition             ,14.600 €, Gasolina, 125 cv,                 14.877 km             ,                  Cadiz             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-125-s-edition-en-cadiz.htm?id=6557709
53,13,                 Renault Mégane  1.3 TCe GPF             ,13.900 €, Gasolina, 140 cv,                 52.680 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-13-tce-gpf-business-103kw-en-madrid.htm?id=5826503
54,14,                 Citroen C4  Picasso 1.6e-HDi             ,9.750 €, Diesel, 115 cv,                 150.000 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16e-hdi-exclusive-115-en-madrid.htm?id=6846177
55,15,                 Renault Mégane  1.2 TCE Energy             ,7.990 €, Gasolina, 115 cv,                 97.000 km             ,"                  Palmas, Las             ",                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-12-tce-energy-expression-s_s-en-palmas+las.htm?id=6843649
56,16,                 Fiat Grande  1.3Mjt Active 90             ,2.450 €, Diesel, 90 cv,                 218.000 km             ,                  Malaga             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-13mjt-active-90-en-malaga.htm?id=6843245
57,17,                 Renault Clio  1.5DCI Confort             ,2.495 €, Diesel, 70 cv,                 180 km             ,                  Malaga             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-confort-dynamique-imusic-en-malaga.htm?id=6835399
58,18,                 Mini Mini  One             ,6.200 €, Gasolina, 95 cv,                 144.000 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-madrid.htm?id=6835371
59,19,                 Seat Alhambra  2.0TDi Reference             ,4.800 €, Diesel, 140 cv,                 263.000 km             ,                  Madrid             ,                  2008             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-alhambra-20tdi-reference-plus-en-madrid.htm?id=6820283
60,20,                 Opel Zafira  2.2Dti 16v Elegance             ,2.800 €, Diesel, 125 cv,                 115.000 km             ,                  Malaga             ,                  2005             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-22dti-16v-elegance-en-malaga.htm?id=6843223
61,21,                 Renault Clio  1.5DCI Confort             ,2.495 €, Diesel, 70 cv,                 180 km             ,                  Malaga             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-confort-dynamique-imusic-en-malaga.htm?id=6835399
62,22,                 Fiat Panda  4x4 1.3Mjt Cross             ,3.500 €, Diesel, 70 cv,                 71.000 km             ,                  Sevilla             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-4x4-13mjt-cross-en-sevilla.htm?id=6820215
63,23,                 Mercedes Clase E 280 V6             ,1.999 €, Gasolina, 204 cv,                 290.000 km             ,                  Vizcaya             ,                  2002             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-280-v6-en-vizcaya.htm?id=6814075
64,24,                 Citroen C4  Picasso 1.6BlueHDI             ,7.500 €, Diesel, 120 cv,                 176 km             ,                  Lleida             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-s_s-feel-ed-eat6-120-en-lleida.htm?id=6809725
65,25,                 Mercedes Clase GLC 220d 4Matic Aut.             ,31.900 €, Diesel, 170 cv,                 73.856 km             ,                  Badajoz             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glc-glc-220d-4matic-aut-en-badajoz.htm?id=6798262
66,26,                 Seat León  1.5 TSI S&S Style             ,19.890 €, Gasolina, 130 cv,                 18.245 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-15-tsi-s_s-style-130-en-madrid.htm?id=6779756
67,27,                 Kia Ceed  1.0 T-GDI             ,13.600 €, Gasolina, 120 cv,                 0 km             ,                  Palencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-120-en-palencia.htm?id=6770128
68,28,                 Ford Focus  1.6 Ti-VCT Trend             ,7.000 €, Gasolina, 115 cv,                 77.892 km             ,                  Madrid             ,                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16-ti-vct-trend-en-madrid.htm?id=6696780
69,29,                 Mercedes Citan  Tourer 109CDI Plus             ,10.649 €, Diesel, 90 cv,                 84.000 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-citan-tourer-109cdi-plus-en-madrid.htm?id=6683570
70,30,                 Mazda Mazda3  1.5 Style 77kW             ,15.900 €, Diesel, 105 cv,                 14.742 km             ,                  Alicante             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-15-style-77kw-en-alicante.htm?id=6675388
